Cartell MMID,Make,Model,CC,Fuel,Body,Transmission,Doors,Power,BHP,KW,Technical Variant,Construction From,Mark,Trim,Engine Codes,Aspiration,Cylinders,Valves Per cylinder,Drive
2634,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,MC,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
2692,TOYOTA,COROLLA,1398,PETROL,HATCHBACK,Manual,5,97BHP,97,71,,1/01/02,9,COLOUR,4ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
3224,TOYOTA,COROLLA,1364,DIESEL,SALOON,Manual,4,90BHP,90,66,,1/07/04,9,C,1ND-TV,Direct Injection,4,2,Front Wheel Drive
3400,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,5,90BHP,90,66,,1/07/04,9,T2,1ND-TV,Direct Injection,4,2,Front Wheel Drive
3498,TOYOTA,COROLLA,1331,PETROL,SALOON,Automatic,4,88BHP,88,65,_E10_,1/07/92,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
3704,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/01/02,9,MC,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
3716,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,81KW,110,81,,1/01/02,9,MC,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
3768,TOYOTA,COROLLA VERSO,1598,PETROL,MPV,Manual,5,110BHP,110,81,,1/01/02,9,T2,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
3786,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,5,90BHP,90,66,,1/07/04,9,MC,1ND-TV,Direct Injection,4,2,Front Wheel Drive
3888,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/04/04,9,LUNA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
3994,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,4,110BHP,110,81,,1/01/02,9,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
4500,TOYOTA,COROLLA,1598,PETROL,ESTATE,Manual,5,81KW,110,81,,1/01/02,9,TERRA,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
4528,TOYOTA,COROLLA,1364,DIESEL,HATCHBACK,Manual,5,90BHP,90,66,,1/07/04,9,COLLECTION,1ND-TV,Direct Injection,4,2,Front Wheel Drive
4666,TOYOTA,COROLLA,1331,PETROL,SALOON,Automatic,4,75BHP,75,55,_E10_,1/09/95,0,XLI,4E-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
4674,TOYOTA,COROLLA,1598,PETROL,HATCHBACK,Automatic,5,110BHP,110,81,,1/01/02,9,MC,3ZZ-FE,Intake Manifold Injection/ Carburettor,4,4,Front Wheel Drive
